stem,Freq
0,1
0,1
0,1
0,1
000box,1
50,1
00am,1
1,1
10,1
100,1
130,1
2,1
200,1
230,1
3,1
330,1
4,1
400,1
445,1
04am,1
530,1
05am,1
600,1
630,1
645,1
656,1
7,1
700,1
715,1
745,1
755,1
8,1
800,1
830,1
9,1
900,1
915,1
930,1
09pm,1
0f,1
0mm,1
0n,1
0nto,1
0owrist,1
1,1
10,1
100,1
1000,1
10000,1
1000lb,1
1000lbretain,1
1000lbs,1
1000volt,1
100ft,1
100fth,1
100hr,1
100kg,1
100lb,1
100lbon,1
100lbpallet,1
100lbs,1
100lbsblock,1
100mph,1
100pds,1
100pound,1
101,1
102,1
1020pm,1
103,1
1030,1
1030am,1
104,1
1045,1
105,1
1050,1
106,1
107mg,1
108,1
1095,1
10am,1
10cm,1
10d,1
10da,1
10day,2
10feet,1
10ft,1
10fth,1
10fthland,1
10hour,1
10hr,1
10hrs,1
10lb,1
10lbs,1
10low,1
10m,1
10mc,1
10min,1
10mph,1
10mphdx,1
10pain,1
10pm,1
10sec,2
10stair,1
10th,1
10wks,1
10x,1
10x16,1
10year,1
10yo,1
10yopt,1
11,1
110,1
1100,1
1100lbs,1
110v,1
1130,1
1130pm,1
1145am,1
115k,1
117,1
11a,1
11am,1
11ft,1
11fth,1
11hrs,1
11in,1
11p,1
11pm,1
11th,1
11yr,1
12,1
120,1
1200,1
1200lb,1
120lb,1
120v,1
120volt,1
121,1
1220am,1
123,1
1230,1
1230pm,1
1245,1
125,1
125lb,1
125lbs,1
129,1
12am,1
12beer,1
12cm,1
12d,1
12feet,1
12fractur,1
12ft,1
12fth,1
12g,1
12h,1
12hour,1
12hr,1
12hrs,1
12lb,1
12pm,1
12th,1
12v,1
12wks,1
12yo,1
12yowf,1
13,1
130,1
1300,1
1300lb,1
130lb,1
130pm,1
1315,1
1330,1
134,1
135,1
1351,1
13d,1
13ft,1
13fth,1
13hr,1
13step,1
13wk,1
13wks,1
13yowm,1
14,1
140,1
1400,1
140lb,1
140lbs,1
142,1
1430,1
1450,1
146,1
147,1
14day,1
14ft,1
14fth,1
14hr,1
14hrs,1
14mo,1
14wks,1
14yo,1
14yowf,1
14yr,1
15,1
150,1
1500,1
15000,1
1500lb,1
150ft,1
150ib,1
150lb,1
150yr,1
1527,1
1530,1
156,1
1571,1
15a,1
15am,1
15cm,1
15dx,1
15feet,1
15ft,1
15fth,1
15hr,1
15hrs,1
15lb,1
15lbpound,1
15lbs,1
15min,1
15mph,1
15p,1
15pm,1
15pound,1
15sec,1
15th,1
15wks,1
15yo,1
15yowf,1
15yowm,1
15yr,1
16,1
160,1
1600,1
16000,1
160lb,1
160lbs,1
162,1
1620,1
1634,1
165,1
165f,1
16ft,1
16fth,1
16hour,1
16hr,1
16hrs,1
16hrsas,1
16week,1
16wk,1
16yo,1
16yobf,1
16yowf,1
16yowm,1
17,1
170,1
1700,1
172,1
173,1
1730,1
175,1
175lb,1
175lbs,1
176temp,1
17ft,1
17hr,1
17th,1
17week,1
17wks,1
17yo,1
17yohf,1
17yowf,1
17yowm,1
18,1
180,1
1800,1
180lb,1
183,1
1830,1
1845,1
185,1
1850,1
188,1
189,1
18feet,1
18ft,1
18fth,1
18g,1
18ga,1
18i,1
18lb,1
18th,1
18wheeler,2
18wheelr,1
18wks,1
18yobf,1
18yobm,1
18yohf,1
18yohm,1
18yowf,1
18yowm,1
19,1
1900,1
1901,1
190lb,1
1910,1
1930,1
195,1
1980,1
1999,1
19fth,1
19yobf,1
19yohf,1
19yohm,1
19yowf,1
19yowm,1
1am,1
1at,1
1cm,1
1cmlacer,1
1cmx2cm,1
1day,1
1degre,1
1face,1
1foot,1
1ft,1
1fth,1
1fthigh,1
1hour,1
1hr,1
1hrago,1
1k,1
1layer,1
1m,1
1ma,1
1mago,1
1min,1
1ml,1
1mm,1
1mo,1
1month,1
1monthago,1
1monthpain,1
1mvc,1
1nd,1
1oam,1
1on,1
1ooolb,1
1p,1
1pm,1
1pmtoday,1
1st,1
1st3,1
1stdegre,1
1stdigit,1
1step,1
1w,1
1wa,1
1week,1
1wk,1
1wkago,1
1x,1
1ya,1
1yo,1
1yom,1
1yr,1
1yra,1
2,1
20,1
200,1
2000,1
20000,1
2000ft,1
2000lb,1
2000lbs,1
2003,1
2004,1
2006,1
2007,1
2008,1
2009,1
200ft,1
200ib,1
200lb,1
200lbs,1
200pound,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,1
2015pain,1
2016,1
2017,1
2030,1
2045,1
205,1
207,1
20a,1
20am,1
20ft,1
20fth,1
20ftl,1
20g,1
20ga,1
20lb,1
20lbs,1
20mg,1
20mh,1
20min,2
20mph,1
20pm,1
20pmtoday,1
20pta,1
20sec,1
20step,1
20th,1
20wk,1
20yo,1
20yobm,1
20yohf,1
20yohm,1
20yowf,1
20yowm,1
20yr,2
21,1
210,1
212,1
213,1
215,1
216lb,1
21g,1
21pm,1
21yobf,1
21yobm,1
21yohf,1
21yohm,1
21yowf,1
21yowm,1
22,1
220,1
2200,1
220lb,1
220v,1
220volt,2
2215,1
223,1
2230,1
225,1
225amp,1
225lbs,1
227,1
227volt,1
22g,1
22m,1
22yobf,1
22yobm,1
22yohf,1
22yohm,1
22yoim,1
22yowf,1
22yowm,1
23,1
230,1
2300,1
2300pt,1
230lbs,1
230pm,1
231,1
2325,1
236,1
23am,1
23wks,1
23yobm,1
23yohf,1
23yohm,1
23yowf,1
23yowm,1
24,1
240,1
2400volt,1
240lb,1
2449,1
246,1
247am,1
248,1
24d,1
24ft,1
24gneedl,1
24hour,1
24hr,1
24hrs,1
24lb,1
24lbs,1
24pack,1
24wks,1
24y9om,1
24yo,1
24yobf,1
24yobm,1
24yohf,1
24yohm,1
24yowf,1
24yowm,1
25,1
250,1
2500,1
2500psi,1
250degre,1
250lb,1
250lbs,1
252,1
25am,1
25cm,1
25ft,1
25fth,1
25fthit,1
25g,1
25lb,1
25lbs,1
25mph,1
25wks,1
25yoam,1
25yobf,1
25yobm,1
25yofc,1
25yohf,1
25yohm,1
25yowf,1
25yowm,1
25yr,1
26,1
260lb,1
260lbs,1
262,1
2620,1
26all,1
26ft,1
26hrs,1
26ym,1
26yobf,1
26yobm,1
26yohf,1
26yohm,1
26yowf,1
26yowm,1
27,1
270,1
270lb,1
270volt,1
271,1
273,1
276,1
277,1
277v,1
277volt,1
27yobf,1
27yobm,1
27yohm,1
27yowf,1
27yowm,1
28,1
280,1
280lb,1
280v,1
285lb,1
28ft,1
28pound,1
28yobf,1
28yobm,1
28yohm,1
28yowf,1
28yowm,1
29,1
290,1
2900,1
292,1
296,1
29yo,1
29yobf,1
29yohf,1
29yohm,1
29yowf,1
29yowm,1
2am,1
2cm,1
2d,1
2da,1
2dago,1
2day,2
2dlater,1
2drop,1
2episod,1
2floor,1
2foot,1
2ft,1
2fth,1
2fthurt,1
2h,1
2hand,1
2heavi,1
2hors,1
2hr,1
2hrs,1
2inc,1
2inch,1
2insect,1
2job,1
2l,1
2lb,1
2m,1
2ma,1
2men,1
2metal,1
2min,1
2ml,1
2mm,1
2mo,1
2month,1
2mos,1
2n,1
2nail,1
2nd,1
2ndari,1
2nddegre,1
2nddigit,1
2ndfinger,1
2ndfingertip,1
2ndfloor,1
2ndmetacarp,1
2ndstori,1
2ndtoe,1
2nto,1
2o,1
2oft,1
2p,1
2pallet,1
2piec,1
2pm,1
2pump,1
2rd,1
2ring,1
2student,1
2ton,1
2tsp,1
2w,1
2wa,1
2week,1
2wk,1
2wks,1
2work,1
2x,1
2x10,1
2x12,1
2x2,1
2x3ft,1
2x4,1
2x4s,1
2x6,1
2x8,1
2y,1
2ya,1
2yo,1
2yr,2
3,1
30,1
300,1
3000,1
3000lb,1
3001b,1
300lb,1
300lbs,1
300x,1
30a,1
30am,1
30fell,1
30ft,1
30fth,1
30g,1
30gal,1
30lb,1
30lbs,1
30m,1
30min,1
30moin,1
30mp,1
30mph,1
30p,1
30pm,1
30pmspit,1
30pmtoday,1
30pound,1
30sec,2
30wks,1
30y0f,1
30yo,1
30yobm,1
30yohf,1
30yohm,1
30yowf,1
30yowm,1
30yr,1
31,1
31wks,1
31yobf,1
31yobm,1
31yohf,1
31yohm,1
31yowf,1
31yowm,1
32,1
320,1
320lbs,1
321,1
325,1
32wks,1
32yobf,1
32yobm,1
32yohf,1
32yohm,1
32yowf,1
32yowm,1
33,1
330pm,1
33lb,1
33yobf,1
33yobm,1
33yohf,1
33yohm,1
33yowf,1
33yowm,1
34,1
344lb,1
346,1
34d,1
34lbs,1
34week,1
34yo34yobf,1
34yoam,1
34yobm,1
34yohf,1
34yohm,1
34yowf,1
34yowm,1
35,1
350,1
3500,1
350d,1
350lb,1
350lbs,1
353,1
35am,1
35ft,1
35lb,1
35lbs,1
35mph,1
35o,1
35pm,1
35v,1
35wks,1
35yobf,1
35yobm,1
35yohf,1
35yohm,1
35yowf,1
35yowf35yowf,1
35yowm,1
36,1
360,1
360lb,1
364,1
367,1
36hr,1
36lb,1
36wk,1
36yobf,1
36yobm,1
36yohf,1
36yohm,1
36yowf,1
36yowm,1
37,1
370,1
3700,1
374lb,1
375lbs,1
37yobf,1
37yobm,1
37yofw,1
37yohm,1
37yosm,1
37yowf,1
37yowm,1
38,1
380lb,1
381,1
384,1
38mph,1
38yoaf,1
38yobf,1
38yobm,1
38yohf,1
38yohm,1
38yowf,1
38yowm,1
39,1
392,1
39yoam,1
39yobm,1
39yohf,1
39yohm,1
39yowf,1
39yowm,1
3a,1
3am,1
3chair,1
3cm,1
3d,1
3da,1
3dago,1
3day,2
3dayago,1
3dr,1
3ft,1
3ftd,1
3fth,1
3hour,1
3hrs,1
3inch,1
3k,1
3lb,1
3m,1
3ma,1
3male,1
3men,1
