"word","n"
"work",103096
"pain",51335
"finger",30205
"back",29892
"fell",22570
"o",22046
"c",21544
"hand",20370
"pt",17467
"knee",15934
"lac",15844
"lifting",15832
"strain",15797
"rt",14232
"shoulder",14100
"head",13660
"s",13470
"contusion",13038
"w",12736
"lt",12340
"working",11533
"p",11302
"lower",11230
"l",11047
"hit",11019
"laceration",10890
"heavy",10573
"sprain",10450
"foot",10229
"cut",10088
"r",10080
"eye",9785
"wrist",9560
"ankle",9274
"injury",8981
"low",8757
"metal",7427
"left",7412
"arm",7344
"2",7176
"fx",6898
"got",6872
"leg",6580
"thumb",6466
"slipped",6222
"neck",6105
"patient",6089
"works",6011
"face",5849
"chest",5736
"subject",5512
"right",5408
"onto",5402
"strained",5401
"needle",5209
"lumbar",5147
"ago",5128
"states",5093
"floor",4903
"today",4724
"using",4700
"truck",4671
"elbow",4572
"injured",4528
"fall",4382
"reports",4374
"days",4201
"caught",4173
"piece",4164
"forearm",4151
"felt",4140
"d",4085
"sustained",4047
"abrasion",3966
"knife",3959
"cutting",3702
"struck",3532
"stuck",3515
"exposure",3505
"upper",3469
"box",3430
"burn",3426
"acc",3251
"door",3241
"twisted",3200
"male",3163
"puncture",3163
"developed",3135
"loc",3112
"wall",3084
"inj",3027
"body",3010
"car",3002
"ladder",2964
"fb",2936
"tripped",2927
"index",2852
"x",2837
"yo",2814
"something",2784
"hitting",2783
"boxes",2744
"machine",2720
"hip",2716
"yesterday",2657
"moving",2638
"lbp",2629
"fracture",2528
"falling",2485
"job",2464
"b",2449
"acute",2393
"construction",2378
"corneal",2304
"swelling",2290
"toe",2266
"wound",2255
"nail",2242
"pw",2231
"driver",2214
"bite",2188
"day",2185
"sust",2182
"3",2179
"hurt",2156
"now",2155
"cleaning",2143
"trying",2079
"muscle",2066
"ms",2040
"stick",2031
"walking",2005
"1",1955
"closed",1944
"side",1911
"hot",1910
"lot",1909
"sts",1886
"pop",1873
"2nd",1871
"assaulted",1860
"thigh",1855
"saw",1853
"started",1840
"accidentally",1815
"chemical",1788
"went",1783
"getting",1779
"fire",1739
"female",1736
"feet",1721
"facial",1701
"fluid",1696
"officer",1690
"concussion",1678
"heat",1673
"blood",1654
"glass",1645
"scalp",1633
"rib",1627
"dog",1622
"middle",1597
"pulling",1582
"dropped",1580
"object",1565
"home",1553
"stepped",1552
"splashed",1527
"employee",1522
"pta",1513
"cont",1505
"water",1484
"open",1476
"carrying",1475
"since",1460
"wet",1449
"bending",1427
"landed",1419
"sprained",1412
"ice",1407
"last",1399
"stairs",1382
"t",1382
"site",1363
"eyes",1353
"crush",1351
"standing",1347
"wearing",1346
"rash",1340
"chi",1339
"cart",1332
"unspecified",1328
"pipe",1317
"punched",1308
"police",1305
"worker",1304
"er",1299
"wk",1288
"4",1287
"landing",1271
"3rd",1267
"fingers",1266
"self",1263
"due",1255
"kicked",1253
"wood",1247
"avulsion",1245
"conts",1224
"lifted",1207
"bit",1196
"table",1193
"chair",1192
"cervical",1191
"lift",1182
"hands",1176
"mvc",1171
"sciatica",1169
"co",1165
"equipment",1164
"began",1160
"concrete",1156
"5",1153
"pushing",1153
"5th",1150
"ground",1115
"4th",1112
"bitten",1109
"headache",1109
"causing",1096
"steel",1092
"bed",1080
"bus",1073
"pulled",1057
"forehead",1049
"foreign",1033
"forklift",1032
"meat",1031
"broke",1028
"cutter",1028
"wks",1027
"dev",1025
"cellulitis",1024
"school",1018
"injuring",1013
"pallet",1005
"sus",1004
"slicer",1002
"abd",987
"sharp",982
"exposed",978
"f",976
"thoracic",973
"trauma",973
"groin",969
"twisting",967
"rolled",962
"driving",958
"week",956
"burns",955
"ft",953
"large",940
"bag",933
"food",933
"hospital",929
"trash",929
"helping",917
"roof",915
"client",905
"contact",905
"amputation",904
"ed",892
"degree",887
"lacerated",873
"steps",864
"shelf",863
"hematoma",856
"fractured",845
"came",842
"weeks",839
"another",838
"new",835
"farm",827
"objects",827
"top",826
"ring",818
"assault",814
"tree",813
"alot",811
"grinder",805
"striking",805
"long",801
"blade",796
"lip",792
"used",792
"altercation",788
"spasm",787
"house",785
"restrained",782
"tip",782
"human",771
"lifts",766
"mva",766
"ran",766
"gun",764
"outside",763
"suspect",760
"hammer",757
"slip",756
"exhaustion",755
"10",747
"dermatitis",744
"area",743
"dirty",742
"bent",741
"arms",733
"can",733
"one",732
"digit",725
"nose",720
"needlestick",718
"night",716
"tractor",715
"garbage",702
"someone",694
"hx",693
"step",687
"contusions",685
"onset",685
"trailer",683
"abrasions",681
"around",681
"welding",681
"repetitive",680
"scratched",678
"knees",675
"thru",674
"drill",663
"calf",661
"backwards",660
"gloves",660
"time",653
"ct",652
"presents",649
"dislocation",648
"abdominal",640
"taking",640
"resident",639
"painful",636
"pushed",636
"bar",635
"ear",634
"broken",631
"hrs",627
"skin",625
"crushed",623
"flew",622
"grinding",621
"tendonitis",620
"h",617
"student",616
"expo",614
"pole",614
"1st",613
"picking",612
"sudden",607
"worse",607
"putting",606
"ribs",606
"6",602
"loading",601
"pn",598
"fight",595
"wire",594
"tire",592
"worsening",592
"ytd",588
"redness",584
"shot",582
"nausea",581
"inhalation",576
"jack",572
"pull",572
"mid",571
"window",571
"firefighter",569
