"word","n","stem"
"work",103096,"work"
"pain",51335,"pain"
"finger",30205,"finger"
"back",29892,"back"
"fell",22570,"fell"
"o",22046,"o"
"c",21544,"c"
"hand",20370,"hand"
"pt",17467,"pt"
"knee",15934,"knee"
"lac",15844,"lac"
"lifting",15832,"lift"
"strain",15797,"strain"
"rt",14232,"rt"
"shoulder",14100,"shoulder"
"head",13660,"head"
"s",13470,"s"
"contusion",13038,"contus"
"w",12736,"w"
"lt",12340,"lt"
"working",11533,"work"
"p",11302,"p"
"lower",11230,"lower"
"l",11047,"l"
"hit",11019,"hit"
"laceration",10890,"lacer"
"heavy",10573,"heavi"
"sprain",10450,"sprain"
"foot",10229,"foot"
"cut",10088,"cut"
"r",10080,"r"
"eye",9785,"eye"
"wrist",9560,"wrist"
"ankle",9274,"ankl"
"injury",8981,"injuri"
"low",8757,"low"
"metal",7427,"metal"
"left",7412,"left"
"arm",7344,"arm"
"2",7176,"2"
"fx",6898,"fx"
"got",6872,"got"
"leg",6580,"leg"
"thumb",6466,"thumb"
"slipped",6222,"slip"
"neck",6105,"neck"
"patient",6089,"patient"
"works",6011,"work"
"face",5849,"face"
"chest",5736,"chest"
"subject",5512,"subject"
"right",5408,"right"
"onto",5402,"onto"
"strained",5401,"strain"
"needle",5209,"needl"
"lumbar",5147,"lumbar"
"ago",5128,"ago"
"states",5093,"state"
"floor",4903,"floor"
"today",4724,"today"
"using",4700,"use"
"truck",4671,"truck"
"elbow",4572,"elbow"
"injured",4528,"injur"
"fall",4382,"fall"
"reports",4374,"report"
"days",4201,"day"
"caught",4173,"caught"
"piece",4164,"piec"
"forearm",4151,"forearm"
"felt",4140,"felt"
"d",4085,"d"
"sustained",4047,"sustain"
"abrasion",3966,"abras"
"knife",3959,"knife"
"cutting",3702,"cut"
"struck",3532,"struck"
"stuck",3515,"stuck"
"exposure",3505,"exposur"
"upper",3469,"upper"
"box",3430,"box"
"burn",3426,"burn"
"acc",3251,"acc"
"door",3241,"door"
"twisted",3200,"twist"
"male",3163,"male"
"puncture",3163,"punctur"
"developed",3135,"develop"
"loc",3112,"loc"
"wall",3084,"wall"
"inj",3027,"inj"
"body",3010,"bodi"
"car",3002,"car"
"ladder",2964,"ladder"
"fb",2936,"fb"
"tripped",2927,"trip"
"index",2852,"index"
"x",2837,"x"
"yo",2814,"yo"
"something",2784,"someth"
"hitting",2783,"hit"
"boxes",2744,"box"
"machine",2720,"machin"
"hip",2716,"hip"
"yesterday",2657,"yesterday"
"moving",2638,"move"
"lbp",2629,"lbp"
"fracture",2528,"fractur"
"falling",2485,"fall"
"job",2464,"job"
"b",2449,"b"
"acute",2393,"acut"
"construction",2378,"construct"
"corneal",2304,"corneal"
"swelling",2290,"swell"
"toe",2266,"toe"
"wound",2255,"wound"
"nail",2242,"nail"
"pw",2231,"pw"
"driver",2214,"driver"
"bite",2188,"bite"
"day",2185,"day"
"sust",2182,"sust"
"3",2179,"3"
"hurt",2156,"hurt"
"now",2155,"now"
"cleaning",2143,"clean"
"trying",2079,"tri"
"muscle",2066,"muscl"
"ms",2040,"ms"
"stick",2031,"stick"
"walking",2005,"walk"
"1",1955,"1"
"closed",1944,"close"
"side",1911,"side"
"hot",1910,"hot"
"lot",1909,"lot"
"sts",1886,"sts"
"pop",1873,"pop"
"2nd",1871,"2nd"
"assaulted",1860,"assault"
"thigh",1855,"thigh"
"saw",1853,"saw"
"started",1840,"start"
"accidentally",1815,"accident"
"chemical",1788,"chemic"
"went",1783,"went"
"getting",1779,"get"
"fire",1739,"fire"
"female",1736,"femal"
"feet",1721,"feet"
"facial",1701,"facial"
"fluid",1696,"fluid"
"officer",1690,"offic"
"concussion",1678,"concuss"
"heat",1673,"heat"
"blood",1654,"blood"
"glass",1645,"glass"
"scalp",1633,"scalp"
"rib",1627,"rib"
"dog",1622,"dog"
"middle",1597,"middl"
"pulling",1582,"pull"
"dropped",1580,"drop"
"object",1565,"object"
"home",1553,"home"
"stepped",1552,"step"
"splashed",1527,"splash"
"employee",1522,"employe"
"pta",1513,"pta"
"cont",1505,"cont"
"water",1484,"water"
"open",1476,"open"
"carrying",1475,"carri"
"since",1460,"sinc"
"wet",1449,"wet"
"bending",1427,"bend"
"landed",1419,"land"
"sprained",1412,"sprain"
"ice",1407,"ice"
"last",1399,"last"
"stairs",1382,"stair"
"t",1382,"t"
"site",1363,"site"
"eyes",1353,"eye"
"crush",1351,"crush"
"standing",1347,"stand"
"wearing",1346,"wear"
"rash",1340,"rash"
"chi",1339,"chi"
"cart",1332,"cart"
"unspecified",1328,"unspecifi"
"pipe",1317,"pipe"
"punched",1308,"punch"
"police",1305,"polic"
"worker",1304,"worker"
"er",1299,"er"
"wk",1288,"wk"
"4",1287,"4"
"landing",1271,"land"
"3rd",1267,"3rd"
"fingers",1266,"finger"
"self",1263,"self"
"due",1255,"due"
"kicked",1253,"kick"
"wood",1247,"wood"
"avulsion",1245,"avuls"
"conts",1224,"cont"
"lifted",1207,"lift"
"bit",1196,"bit"
"table",1193,"tabl"
"chair",1192,"chair"
"cervical",1191,"cervic"
"lift",1182,"lift"
"hands",1176,"hand"
"mvc",1171,"mvc"
"sciatica",1169,"sciatica"
"co",1165,"co"
"equipment",1164,"equip"
"began",1160,"began"
"concrete",1156,"concret"
"5",1153,"5"
"pushing",1153,"push"
"5th",1150,"5th"
"ground",1115,"ground"
"4th",1112,"4th"
"bitten",1109,"bitten"
"headache",1109,"headach"
"causing",1096,"caus"
"steel",1092,"steel"
"bed",1080,"bed"
"bus",1073,"bus"
"pulled",1057,"pull"
"forehead",1049,"forehead"
"foreign",1033,"foreign"
"forklift",1032,"forklift"
"meat",1031,"meat"
"broke",1028,"broke"
"cutter",1028,"cutter"
"wks",1027,"wks"
"dev",1025,"dev"
"cellulitis",1024,"cellul"
"school",1018,"school"
"injuring",1013,"injur"
"pallet",1005,"pallet"
"sus",1004,"sus"
"slicer",1002,"slicer"
"abd",987,"abd"
"sharp",982,"sharp"
"exposed",978,"expos"
"f",976,"f"
"thoracic",973,"thorac"
"trauma",973,"trauma"
"groin",969,"groin"
"twisting",967,"twist"
"rolled",962,"roll"
"driving",958,"drive"
"week",956,"week"
"burns",955,"burn"
"ft",953,"ft"
"large",940,"larg"
"bag",933,"bag"
"food",933,"food"
"hospital",929,"hospit"
"trash",929,"trash"
"helping",917,"help"
"roof",915,"roof"
"client",905,"client"
"contact",905,"contact"
"amputation",904,"amput"
"ed",892,"ed"
"degree",887,"degre"
"lacerated",873,"lacer"
"steps",864,"step"
"shelf",863,"shelf"
"hematoma",856,"hematoma"
"fractured",845,"fractur"
"came",842,"came"
"weeks",839,"week"
"another",838,"anoth"
"new",835,"new"
"farm",827,"farm"
"objects",827,"object"
"top",826,"top"
"ring",818,"ring"
"assault",814,"assault"
"tree",813,"tree"
"alot",811,"alot"
"grinder",805,"grinder"
"striking",805,"strike"
"long",801,"long"
"blade",796,"blade"
"lip",792,"lip"
"used",792,"use"
"altercation",788,"alterc"
"spasm",787,"spasm"
"house",785,"hous"
"restrained",782,"restrain"
"tip",782,"tip"
"human",771,"human"
"lifts",766,"lift"
"mva",766,"mva"
"ran",766,"ran"
"gun",764,"gun"
"outside",763,"outsid"
"suspect",760,"suspect"
"hammer",757,"hammer"
"slip",756,"slip"
"exhaustion",755,"exhaust"
"10",747,"10"
"dermatitis",744,"dermat"
"area",743,"area"
"dirty",742,"dirti"
"bent",741,"bent"
"arms",733,"arm"
"can",733,"can"
"one",732,"one"
"digit",725,"digit"
"nose",720,"nose"
"needlestick",718,"needlestick"
"night",716,"night"
"tractor",715,"tractor"
"garbage",702,"garbag"
"someone",694,"someon"
"hx",693,"hx"
"step",687,"step"
"contusions",685,"contus"
"onset",685,"onset"
"trailer",683,"trailer"
"abrasions",681,"abras"
"around",681,"around"
"welding",681,"weld"
"repetitive",680,"repetit"
"scratched",678,"scratch"
"knees",675,"knee"
"thru",674,"thru"
"drill",663,"drill"
"calf",661,"calf"
"backwards",660,"backward"
"gloves",660,"glove"
"time",653,"time"
"ct",652,"ct"
"presents",649,"present"
"dislocation",648,"disloc"
"abdominal",640,"abdomin"
"taking",640,"take"
"resident",639,"resid"
"painful",636,"pain"
"pushed",636,"push"
"bar",635,"bar"
"ear",634,"ear"
"broken",631,"broken"
"hrs",627,"hrs"
"skin",625,"skin"
"crushed",623,"crush"
"flew",622,"flew"
"grinding",621,"grind"
"tendonitis",620,"tendon"
"h",617,"h"
"student",616,"student"
"expo",614,"expo"
"pole",614,"pole"
"1st",613,"1st"
"picking",612,"pick"
"sudden",607,"sudden"
"worse",607,"wors"
"putting",606,"put"
"ribs",606,"rib"
"6",602,"6"
"loading",601,"load"
"pn",598,"pn"
"fight",595,"fight"
"wire",594,"wire"
"tire",592,"tire"
"worsening",592,"worsen"
"ytd",588,"ytd"
"redness",584,"red"
"shot",582,"shot"
"nausea",581,"nausea"
"inhalation",576,"inhal"
"jack",572,"jack"
"pull",572,"pull"
"mid",571,"mid"
"window",571,"window"
"firefighter",569,"firefight"
"going",567,"go"
"burned",566,"burn"
"bibems",563,"bibem"
"tried",562,"tri"
"sheet",555,"sheet"
"jumped",554,"jump"
"morning",554,"morn"
"air",553,"air"
"oil",550,"oil"
"power",549,"power"
"also",548,"also"
"multiple",548,"multipl"
"stepping",548,"step"
"stretcher",548,"stretcher"
"buttocks",544,"buttock"
"attempting",543,"attempt"
"insect",540,"insect"
"spilled",536,"spill"
"razor",535,"razor"
"person",534,"person"
"abdomen",530,"abdomen"
"lost",530,"lost"
"atwork",529,"atwork"
"smashed",529,"smash"
"distal",527,"distal"
"duty",527,"duti"
"occ",527,"occ"
"bilat",524,"bilat"
"get",524,"get"
"became",522,"becam"
"prior",522,"prior"
