"","CASE_CODE_TYPE","CASE_CODE","CASE_CODE_TITLE","Hierarchy_level","Sort_sequence"
"1","Event",1,"VIOLENCE AND OTHER INJURIES BY PERSONS OR ANIMALS",1,1
"2","Event",10,"Violence and other injuries by persons or animals, unspecified",2,2
"3","Event",11,"Intentional injury by person",2,3
"4","Event",110,"Intentional injury by person, unspecified",3,4
"5","Event",111,"Intentional injury by other person",3,5
"6","Event",1110,"Intentional injury by other person, unspecified",4,6
"7","Event",1111,"Shooting by other person--intentional",4,7
"8","Event",1112,"Stabbing, cutting, slashing, piercing",4,8
"9","Event",1113,"Hitting, kicking, beating, shoving",4,9
"10","Event",1114,"Strangulation by other person",4,10
"11","Event",1115,"Bombing, arson",4,11
"12","Event",1116,"Rape, sexual assault ",4,12
"13","Event",1117,"Threat, verbal assault",4,13
"14","Event",1118,"Multiple violent acts by other person",4,14
"15","Event",1119,"Intentional injury by other person, n.e.c.",4,15
"16","Event",112,"Self-inflicted injury--intentional ",3,16
"17","Event",1120,"Self-inflicted injury--intentional, unspecified",4,17
"18","Event",1121,"Shooting--intentional self-harm",4,18
"19","Event",1122,"Hanging, strangulation, asphyxiation--intentional self-harm",4,19
"20","Event",1123,"Jumping from building or other structure--intentional self-harm",4,20
"21","Event",1124,"Cutting, stabbing--intentional self-harm",4,21
"22","Event",1125,"Drug overdose--intentional self-harm",4,22
"23","Event",1126,"Inhalation of substance--intentional self-harm",4,23
"24","Event",1129,"Self-inflicted injury--intentional, n.e.c.",4,24
"25","Event",12,"Injury by person--unintentional or intent unknown",2,25
"26","Event",120,"Injury by person--unintentional or intent unknown, unspecified",3,26
"27","Event",121,"Injury by other person--unintentional or intent unknown",3,27
"28","Event",1210,"Injury by other person--unintentional or intent unknown, unspecified  ",4,28
"29","Event",1211,"Shooting by other person--unintentional ",4,29
"30","Event",1212,"Injured by physical contact with other person in sporting event or physical training",4,30
"31","Event",1213,"Injured by physical contact during horseplay ",4,31
"32","Event",1214,"Injured by physical contact with person while restraining, subduing--unintentional",4,32
"33","Event",1215,"Injured by physical contact with person while moving that person--unintentional ",4,33
"34","Event",1218,"Multiple unintentional injuries by other person",4,34
"35","Event",1219,"Injury by other person--unintentional or intent unknown, n.e.c.",4,35
"36","Event",122,"Self-inflicted injury--unintentional or intent unknown",3,36
"37","Event",1220,"Self-inflicted injury--unintentional or intent unknown, unspecified",4,37
"38","Event",1221,"Self-inflicted shooting--unintentional",4,38
"39","Event",1222,"Self-inflicted shooting--intent unknown",4,39
"40","Event",1223,"Self-tasered--unintentional",4,40
"41","Event",1224,"Drug overdose--intent unknown",4,41
"42","Event",1229,"Self-inflicted injury--unintentional or intent unknown, n.e.c.",4,42
"43","Event",129,"Injury by person--unintentional or intent unknown, n.e.c.",3,43
"44","Event",13,"Animal and insect related incidents ",2,44
"45","Event",130,"Animal and insect related incidents, unspecified",3,45
"46","Event",131,"Bites and stings",3,46
"47","Event",1310,"Bites and stings, unspecified",4,47
