"","CASE_CODE_TITLE1","CASE_CODE_TITLE2","trn_tst","N"
"1","FALLS, SLIPS, TRIPS","Falls on same level ","test",4642
"2","OVEREXERTION AND BODILY REACTION","Other exertions or bodily reactions","test",2402
"3","VIOLENCE AND OTHER INJURIES BY PERSONS OR ANIMALS","Animal and insect related incidents ","test",971
"4","OVEREXERTION AND BODILY REACTION","Overexertion and bodily reaction, unspecified","test",1613
"5","EXPOSURE TO HARMFUL SUBSTANCES OR ENVIRONMENTS","Exposure to temperature extremes","test",1242
"6","CONTACT WITH OBJECTS AND EQUIPMENT","Rubbed or abraded by friction or pressure","test",853
"7","OVEREXERTION AND BODILY REACTION","Overexertion involving outside sources","test",7817
"8","CONTACT WITH OBJECTS AND EQUIPMENT","Struck by object or equipment","test",7348
"9","CONTACT WITH OBJECTS AND EQUIPMENT","Contact with objects and equipment, unspecified","test",2732
"10","FALLS, SLIPS, TRIPS","Falls to lower level","test",1992
"11","CONTACT WITH OBJECTS AND EQUIPMENT","Needlestick without exposure to harmful substance","test",16
"12","CONTACT WITH OBJECTS AND EQUIPMENT","Struck against object or equipment","test",2698
"13","CONTACT WITH OBJECTS AND EQUIPMENT","Caught in or compressed by equipment or objects","test",1305
"14","OVEREXERTION AND BODILY REACTION","Repetitive motions involving microtasks","test",220
"15","OVEREXERTION AND BODILY REACTION","Multiple types of overexertions and bodily reactions","test",272
"16","EXPOSURE TO HARMFUL SUBSTANCES OR ENVIRONMENTS","Exposure to other harmful substances","test",3513
"17",NA,NA,"test",386
"18","VIOLENCE AND OTHER INJURIES BY PERSONS OR ANIMALS","Intentional injury by person","test",2742
"19","FALLS, SLIPS, TRIPS","Slip or trip without fall","test",462
"20","FIRES AND EXPLOSIONS","Fires","test",260
"21","EXPOSURE TO HARMFUL SUBSTANCES OR ENVIRONMENTS","Exposure to electricity","test",147
"22","VIOLENCE AND OTHER INJURIES BY PERSONS OR ANIMALS","Injury by person--unintentional or intent unknown","test",632
"23","TRANSPORTATION INCIDENTS","Pedestrian vehicular incidents","test",281
"24","TRANSPORTATION INCIDENTS","Roadway incidents involving motorized land vehicle","test",788
"25","TRANSPORTATION INCIDENTS","Nonroadway incidents involving motorized land vehicles ","test",251
"26","TRANSPORTATION INCIDENTS","Water vehicle incidents","test",31
"27","FIRES AND EXPLOSIONS","Explosions","test",107
"28","EXPOSURE TO HARMFUL SUBSTANCES OR ENVIRONMENTS","Exposure to radiation and noise","test",141
"29","TRANSPORTATION INCIDENTS","Animal and other non-motorized vehicle transportation incidents","test",93
"30","CONTACT WITH OBJECTS AND EQUIPMENT","Struck, caught, or crushed in collapsing structure, equipment, or material","test",21
"31","CONTACT WITH OBJECTS AND EQUIPMENT","Contact with objects and equipment, n.e.c.","test",29
