"word","N"
"work",103096
"at",92945
"dx",76986
"a",76686
"pain",51336
"to",48911
"on",44262
"and",39212
"in",31466
"finger",30205
"back",29892
"was",29634
"of",28715
"yom",27875
"o",24504
"fell",22570
"while",22505
"with",22065
"c",21545
"when",20431
"hand",20370
"the",17529
"pt",17467
"knee",15934
"lac",15844
"lifting",15832
"strain",15797
"yof",15623
"rt",14232
"shoulder",14100
"head",13660
"s",13470
"contusion",13038
"w",12736
"after",12430
"lt",12340
"his",12158
"yo",11897
"working",11533
"p",11302
"lower",11230
"l",11047
"hit",11019
"laceration",10890
"heavy",10573
"sprain",10450
"by",10313
"foot",10229
"cut",10088
"r",10080
"eye",9785
"from",9652
"wrist",9560
"ankle",9274
"m",9053
"injury",8981
"low",8757
"her",8034
"metal",7427
"left",7412
"arm",7344
"2",7176
"he",7075
"fx",6898
"got",6872
"leg",6580
"thumb",6466
"into",6254
"slipped",6223
"neck",6105
"patient",6089
"works",6011
"off",5949
"face",5849
"it",5797
"chest",5736
"subject",5512
"f",5421
"up",5409
"right",5408
"onto",5402
"strained",5401
"for",5266
"needle",5209
"lumbar",5147
"ago",5128
"as",5115
"states",5093
"floor",4903
"over",4849
"down",4819
"today",4724
"using",4700
"truck",4671
"elbow",4572
"out",4545
"injured",4529
"fall",4382
"reports",4374
"an",4309
"y",4271
"days",4201
"caught",4173
"piece",4164
"forearm",4151
"felt",4140
"d",4085
"sustained",4047
"abrasion",3966
"knife",3959
"she",3947
"cutting",3702
"struck",3532
"that",3531
"stuck",3515
"exposure",3505
"upper",3469
"box",3430
"burn",3426
"is",3326
"doing",3294
"had",3293
"acc",3251
"door",3241
"twisted",3200
"puncture",3163
"male",3163
"developed",3135
"loc",3112
"wall",3084
"inj",3027
"body",3010
"car",3002
"ladder",2964
"no",2962
"fb",2936
"tripped",2927
"index",2852
"x",2837
"has",2827
"something",2784
"hitting",2783
"boxes",2744
"machine",2720
"hip",2716
"him",2713
"yesterday",2657
"moving",2638
"lbp",2629
"fracture",2528
"falling",2486
"job",2464
"b",2449
"acute",2393
"construction",2378
"corneal",2304
"swelling",2290
"toe",2266
"wound",2255
"nail",2242
"pw",2231
"driver",2214
"bite",2188
"day",2185
"sust",2182
"3",2179
"hurt",2156
"now",2155
"cleaning",2143
"trying",2079
"muscle",2066
"ms",2040
"30",2039
"stick",2031
"walking",2005
"between",2001
"1",1954
"closed",1944
"26",1930
"25",1922
"27",1911
"side",1911
"hot",1910
"lot",1909
"sts",1886
"29",1873
"pop",1873
"2nd",1871
"assaulted",1860
"24",1856
"thigh",1855
"saw",1853
"started",1840
"28",1823
"accidentally",1815
"23",1793
"chemical",1788
"went",1783
"does",1779
"getting",1779
"31",1764
"being",1747
"fire",1739
"female",1736
"feet",1721
"facial",1701
"fluid",1696
"officer",1690
"concussion",1678
"32",1677
"33",1674
"heat",1673
"blood",1654
"glass",1645
"34",1636
"scalp",1633
"rib",1627
"35",1622
"dog",1622
"22",1616
"middle",1597
"all",1589
"pulling",1582
"dropped",1580
"object",1565
"20",1556
"home",1553
"stepped",1552
"this",1535
"splashed",1527
"employee",1522
"pta",1513
"cont",1505
"water",1484
"open",1476
"carrying",1475
"since",1460
"29yom",1454
"wet",1449
"50",1442
"27yom",1434
"36",1432
"bending",1427
"38",1425
"25yom",1424
"landed",1419
"sprained",1412
"28yom",1412
"21",1408
"ice",1407
"37",1405
"against",1401
"last",1399
"31yom",1388
"42",1384
"t",1382
"stairs",1382
"24yom",1380
"26yom",1375
"45",1375
"39",1373
"site",1363
"30yom",1360
"eyes",1353
"crush",1351
"standing",1347
"wearing",1346
"40",1343
"rash",1340
"chi",1339
"23yom",1335
"cart",1332
"unspecified",1328
"some",1317
"pipe",1317
"punched",1308
"police",1305
"32yom",1304
"worker",1304
"33yom",1302
"44",1301
"er",1299
"47",1292
"wk",1288
"4",1287
"41",1284
"landing",1271
"3rd",1267
"43",1267
"fingers",1266
